rider_1,rider_2,coattendance_count,tie_strength
R004525,R004590,4,0.8405922563568236
R004313,R006091,4,1.410090234767751
R009404,R009470,3,1.7150645522373633
R003792,R009830,3,1.3914292813258646
R006392,R006503,3,0.9798758539363509
R001588,R007867,3,1.1504185102627071
R006383,R008616,3,0.8699690353901213
R000638,R004386,3,1.03430747089981
R007178,R008549,5,3.0369964597333974
R006933,R008029,4,1.4193157657680187
R002048,R004386,4,1.6003219207420085
R005810,R009923,3,0.8717263672189313
R001132,R004833,3,1.5913878935174344
R003480,R003718,3,0.640349924574668
R006021,R009852,3,0.6248776492543848
R004148,R009852,3,0.4281990077092716
R002160,R006909,5,1.2662292927806202
R000277,R000778,21,10.581442476018712
R000703,R006662,23,10.633673549641243
R006261,R008388,4,1.4712701091676688
R000574,R002547,3,0.4220399613239205
R000867,R002769,5,1.4073873089679816
R005350,R009852,3,0.600295578012659
R000813,R008131,4,1.289652519387463
R004335,R005986,3,1.1184862831200608
R004335,R008079,5,2.9205897347292864
R002224,R003611,3,1.6932041774050914
R000828,R002160,3,1.0003401622531494
R002354,R008549,3,0.7563704425438251
R009830,R009995,3,1.716775319960185
R000837,R002056,4,1.2089826256733192
R005986,R008079,5,1.7808501052017063
R004386,R005610,4,1.5579992482710179
R008695,R008839,5,1.248907248054008
R001160,R006058,15,8.729021684082722
R002056,R008659,3,0.4848965813249621
R000867,R001132,3,0.8901719133884305
R001184,R008551,3,1.4071115874698559
R003978,R005763,3,1.3019761218586818
R000813,R007942,4,2.1694618906030305
R003661,R009889,3,1.19483387372238
R001059,R002195,4,1.421759472002269
R002154,R006081,3,1.1122769669831711
R005610,R009830,3,1.5186867770530579
R000402,R002529,3,0.8841734688472865
R003568,R003611,4,1.994308378009699
R000940,R004196,3,0.645640536746913
R004494,R007741,3,1.0435710159589817
R000886,R008124,3,1.7022631736675462
R000668,R008608,3,0.3568107388017878
R001160,R006204,3,0.3903180825830491
R004076,R008540,3,1.5979058834399922
R001588,R009445,3,1.1391850889179431
R001642,R004196,4,1.2320717194464652
R000102,R008388,4,1.5268649945413393
R007656,R008131,3,1.5894906929905377
R003255,R008717,3,0.7070498948702006
R000277,R009928,11,4.6674388383868175
R001059,R003603,3,1.2408793719661577
R004852,R006503,3,1.6640019775317918
R008296,R009470,3,0.6374610518422648
R005939,R006081,3,1.4332745500074038
R005319,R008226,3,1.0892124452760934
R000828,R001255,4,1.523181291486891
R000064,R004184,3,1.0338543017838204
R006292,R009134,3,0.5513640766227226
R007347,R007434,4,2.2579340567922275
R003718,R009189,3,1.213788110844159
R000867,R008997,3,0.45358887267324843
R003653,R005330,3,1.2912822460367237
R003531,R007762,3,1.2053645864214193
R006933,R008408,3,0.7652672559748314
R002056,R004178,3,0.993527126122092
R000742,R007741,4,2.0722232103720017
R005514,R007178,4,1.493939344227756
R008021,R009367,3,1.0898212245702827
R008695,R009739,4,1.6695606538984902
R005617,R006503,3,1.0978051969742095
R000828,R004605,3,1.3234418162553325
R001533,R002154,4,0.5094032216599411
R004111,R007347,3,0.2924384431359653
R001160,R004590,5,1.811131811501461
R004314,R006503,3,0.4561646539699823
R002056,R005009,3,1.3192956098317838
R005366,R005878,4,1.1602986315943247
R000724,R004134,31,13.138498378877465
R000778,R002806,3,1.527540314321879
R004295,R004959,3,1.9536513178223895
R006909,R008092,3,1.2036233042383557
R005407,R008549,4,2.02015828265543
R000261,R004605,3,1.3454063499041784
R001533,R007080,3,1.1226645739818386
R007347,R008015,3,1.7466997133803315
R000703,R005350,18,8.933965892601366
R002675,R008072,3,0.5582577350386488
R004038,R007292,3,0.5976852630365678
R003235,R008551,5,1.7483304755182678
R002929,R004789,3,2.120995255958218
R002389,R004196,3,0.7202987940478583
R001913,R006888,3,1.3283887121754727
R006058,R007615,3,0.8168412570231353
R002488,R007384,3,1.0527849936514184
R006383,R009150,3,1.2499371476852545
R001773,R007178,3,1.1218030272294133
R006292,R007867,3,1.2817243824092799
R000668,R001360,3,0.8796939040957021
R002065,R002748,5,2.6482697334840752
R000778,R004284,3,1.4267535974606063
R004386,R006464,4,1.3302817465656132
R000668,R003259,3,0.5063883917385846
R007033,R009785,3,1.4711388252168685
R001634,R003174,3,0.6703172191778579
R003012,R005988,3,1.294650103757624
R001642,R005409,3,0.3057911349476724
R003890,R006131,3,0.7025271721974478
R002818,R005514,4,1.8760213887616997
R001149,R006299,3,1.4966324917842802
R003235,R005366,5,0.7523537198713183
R004037,R008588,3,0.7655605481196207
R003611,R005775,5,0.9792908755653804
R000277,R000724,3,0.6298464055082023
R001371,R003102,3,1.194358498186553
R006125,R007586,3,1.622006016874284
R001913,R009995,3,0.6920523255348423
R000100,R008055,4,2.2683127046644893
R006081,R009901,3,0.3844479819458947
R001634,R005742,3,0.8321589196826105
R002056,R005531,3,1.006006764930792
R002769,R008997,4,1.2618971214315113
R002337,R003102,3,0.3229309432192089
R000574,R006749,3,1.3605271999774602
R001938,R009366,3,1.1286075694221152
R006817,R009418,4,1.5269080066496659
R003255,R009629,3,1.8007259127767128
R003855,R006921,4,1.5616321660369032
R001896,R003611,4,1.5654413888722647
R003380,R007632,3,1.184860129751999
R008079,R008083,3,1.6305928514425925
R003399,R004614,3,1.1142867580976306
R000662,R002178,3,1.2654603514528342
